date_time_index,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2018-06-07 12:30:00,108.07,106.40734693877543,106.74061224489782,106.41872802287978,106.6054599466252,0.1867319237454268,0.6846160956068363,108.10984443611149,105.37138005368415,108.02211075721834,101.07
2018-06-07 13:30:00,107.84,106.47204081632646,106.75387755102027,106.43426104995213,106.63450794788108,0.2002468979289489,0.6904989445343261,108.13487544008892,105.37287966195161,107.90070358573945,100.84
2018-06-07 14:30:00,107.9,106.53999999999992,106.76816326530599,106.45028005487067,106.66428423146033,0.2140041765896541,0.6969712924766991,108.16210585025938,105.3742206803526,107.90023452857982,100.9
2018-06-07 15:30:00,107.92,106.61061224489788,106.78306122448966,106.4663425679322,106.69383048483773,0.22748791690553105,0.7033061368316097,108.18967349815287,105.37644895082644,107.91341150952661,100.92
2018-06-08 09:30:00,107.8,106.65612244897953,106.79455782312911,106.48091805899304,106.71985800284155,0.23893994384850714,0.7083660831212385,108.2112899893716,105.37782565688663,107.83780383650885,100.8
2018-06-08 10:30:00,107.87,106.70306122448973,106.80571428571416,106.49609928239202,106.74692016748057,0.25082088508854383,0.7136893131987402,108.23309291211164,105.37833565931668,107.85926794550295,100.87
2018-06-08 11:30:00,107.85,106.74020408163261,106.81517006802709,106.51089601154622,106.77287498706927,0.26197897552304994,0.7187735214494861,108.25271711092606,105.37762302512812,107.85308931516765,100.85
2018-06-08 12:30:00,108.15,106.78346938775505,106.8242857142856,106.52880971633807,106.80527792854998,0.27646821221190976,0.7272875312715567,108.27886077682871,105.36971065174248,108.05102977172255,101.15
2018-06-08 13:30:00,108.14,106.81530612244894,106.83428571428558,106.54641835331797,106.83668315376059,0.29026480044261405,0.735492853760253,108.3052714218061,105.36330000676507,108.11034325724086,101.14
2018-06-08 14:30:00,108.14,106.84653061224488,106.84360544217674,106.56383454617787,106.86734943249564,0.303514886317771,0.743739402669709,108.33108424751616,105.35612663683732,108.13011441908027,101.14
2018-06-08 15:30:00,108.18,106.88142857142854,106.85442176870735,106.58149755660216,106.89823532820162,0.31673777159946326,0.7522685799981766,108.35895892870371,105.349884608711,108.16337147302676,101.18
2018-06-11 09:30:00,108.39,106.92653061224487,106.86462585034,106.60126261062837,106.93333567342042,0.3320730627920483,0.7624807075606094,108.38958726546123,105.33966443521878,108.31445715767559,101.39
2018-06-11 10:30:00,108.63,106.98346938775508,106.87510204081619,106.62343460395483,106.973257186987,0.3498225830321644,0.7754150531382441,108.42593214709268,105.3242719345397,108.52481905255853,101.63
2018-06-11 11:30:00,108.51,107.03673469387753,106.88489795918353,106.6440528050045,107.00941584141083,0.36536303640632184,0.7869049522744007,108.45870786373233,105.31108805463474,108.51493968418617,101.51
2018-06-11 12:30:00,108.72,107.09428571428572,106.89612244897945,106.66674075249078,107.04966488043645,0.382924127945671,0.8015297392657094,108.49918192751088,105.29306297044803,108.6516465613954,101.72
2018-06-11 13:30:00,108.72,107.15183673469389,106.90734693877536,106.68918074426682,107.08896688324973,0.39978613898290405,0.8157636161909027,108.53887417115716,105.27581970639356,108.69721552046514,101.72
2018-06-11 14:30:00,108.63,107.21428571428574,106.91884353741482,106.71039188367374,107.12522648599679,0.41483460232305447,0.8286065861572542,108.57605670972933,105.2616303651003,108.65240517348838,101.63
2018-06-11 15:30:00,108.74,107.27591836734695,106.93088435374135,106.73257339314178,107.1632211569145,0.4306477637727255,0.8425627841470156,108.61600992203537,105.24575878544732,108.71080172449611,101.74
2018-06-12 09:30:00,108.5,107.32408163265306,106.9389115646257,106.75188953092166,107.1946747767518,0.44278524583013734,0.8530659776286095,108.64504351988292,105.23277960936848,108.5702672414987,101.5
2018-06-12 10:30:00,108.53,107.36734693877551,106.94612244897945,106.77132243222307,107.22609419376938,0.4547717615463114,0.863366278553838,108.67285500608713,105.21938989187177,108.5434224138329,101.53
2018-06-12 11:30:00,108.51,107.41020408163266,106.9542176870747,106.79032437285453,107.25630374215129,0.4659793692967611,0.8735028183688319,108.70122332381237,105.20721205033703,108.52114080461097,101.51
2018-06-12 12:30:00,108.53,107.4534693877551,106.96265306122436,106.80933722123865,107.28627306586537,0.47693584462672334,0.8831991740814253,108.72905140938721,105.1962547130615,108.52704693487033,101.53
