,true_test_price,pred_from_gen,pred_shift-4,pred_shift-3,pred_shift-2,pred_shift-1,pred_shift0,pred_shift1,pred_shift2,pred_shift3,true_train_price
2018-08-20 14:30:00,,,,,,,,,,,113.01000000000002
2018-08-20 15:30:00,,,,,,,,,,,113.07000000000001
2018-08-21 09:30:00,,,,,,,,,,,113.17000000000002
2018-08-21 10:30:00,,,,,,,,,,,113.17000000000002
2018-08-21 11:30:00,,,,,,,,,,,113.38000000000001
2018-08-21 12:30:00,,,,,,,,,,,113.57
2018-08-21 13:30:00,,,,,,,,,,,113.61
2018-08-21 14:30:00,,,,,,,,,,,113.51
2018-08-21 15:30:00,,,,,,,,,,,113.48999999999998
2018-08-22 09:30:00,,,,,,,,,,,113.14
2018-08-22 10:30:00,,,,,,,,,,,112.96999999999998
2018-08-22 11:30:00,,,,,,,,,,,113.25
2018-08-22 12:30:00,,,,,,,,,,,113.15
2018-08-22 13:30:00,,,,,,,,,,,113.14
2018-08-22 14:30:00,,,,,,,,,,,113.0
2018-08-22 15:30:00,,,,,,,,,,,113.02000000000001
2018-08-23 09:30:00,,,,,,,,,,,112.71999999999998
2018-08-23 10:30:00,,,,,,,,,,,112.96999999999998
2018-08-23 11:30:00,,,,,,,,,,,112.66000000000001
2018-08-23 12:30:00,,,,,,,,,,,112.71000000000001
2018-08-23 13:30:00,,,,,,,,,,,112.63
2018-08-23 14:30:00,,,,,,,,,,,112.63
2018-08-23 15:30:00,,,,,,,,,,,112.67
2018-08-24 09:30:00,,,,,,,,,,,112.90000000000002
2018-08-24 10:30:00,,,,,,,,,,,112.90000000000002
2018-08-24 11:30:00,,,,,,,,,,,112.90000000000002
2018-08-24 12:30:00,,,,,,,,,,,113.25
2018-08-24 13:30:00,,,,,,,,,,,113.15
2018-08-24 14:30:00,,,,,,,,,,,113.14
2018-08-24 15:30:00,,,,,,,,,,,113.11
2018-08-27 09:30:00,,,,,,,,,,,113.48999999999998
2018-08-27 10:30:00,,,,,,,,,,,113.89000000000001
2018-08-27 11:30:00,,,,,,,,,,,113.89000000000001
2018-08-27 12:30:00,,,,,,,,,,,113.97
